,ID,Bill,Treatment,Position,tseen,Question,Response,Var,GENDER,AGE,COUNTRY,EDUC,ECSTAT,PLACE,REGION,POLINT,RELIMP,RELQUANT,PolTrust,PolCompetence,PolInf,GovStrongLeader,GovExperts,GovDem,RightsVersusGov,Treat
1569,94,3,0,1,0,Q2,68,5,1,22,1,3,2,4,80,1,4,7,4.0,1.0,3.5,3,3,3,3,0
1570,94,1,1,2,0,Q2,33,5,1,22,1,3,2,4,80,1,4,7,4.0,1.0,3.5,3,3,3,3,1
1571,94,2,1,3,1,Q2,0,5,1,22,1,3,2,4,80,1,4,7,4.0,1.0,3.5,3,3,3,3,1
1572,95,3,0,1,0,Q2,100,6,1,41,1,2,3,4,34,4,2,7,4.0,2.75,3.3333333333333335,3,3,4,4,0
1573,95,2,1,2,0,Q2,100,6,1,41,1,2,3,4,34,4,2,7,4.0,2.75,3.3333333333333335,3,3,4,4,1
1574,95,1,2,3,0,Q2,99,6,1,41,1,2,3,4,34,4,2,7,4.0,2.75,3.3333333333333335,3,3,4,4,2
1575,96,1,2,1,0,Q2,75,1,0,36,1,5,1,1,33,5,2,5,1.0,3.0,2.0,1,4,4,5,2
1576,96,2,1,2,0,Q2,85,1,0,36,1,5,1,1,33,5,2,5,1.0,3.0,2.0,1,4,4,5,1
1577,96,3,1,3,1,Q2,99,1,0,36,1,5,1,1,33,5,2,5,1.0,3.0,2.0,1,4,4,5,1
1578,97,1,1,1,0,Q2,50,2,1,32,1,5,2,2,25,2,3,6,4.0,2.0,3.6666666666666665,3,3,3,3,1
1579,97,3,0,2,0,Q2,50,2,1,32,1,5,2,2,25,2,3,6,4.0,2.0,3.6666666666666665,3,3,3,3,0
1580,97,2,1,3,1,Q2,50,2,1,32,1,5,2,2,25,2,3,6,4.0,2.0,3.6666666666666665,3,3,3,3,1
1581,98,2,2,1,0,Q2,80,3,0,37,1,3,3,4,61,4,2,5,3.6666666666666665,3.0,3.0,3,3,5,2,2
1582,98,1,0,2,0,Q2,99,3,0,37,1,3,3,4,61,4,2,5,3.6666666666666665,3.0,3.0,3,3,5,2,0
1583,98,3,0,3,0,Q2,60,3,0,37,1,3,3,4,61,4,2,5,3.6666666666666665,3.0,3.0,3,3,5,2,0
1584,99,2,1,1,0,Q2,45,4,1,42,1,5,4,1,33,2,2,5,4.0,3.0,2.8333333333333335,3,3,3,4,1
1585,99,3,1,2,1,Q2,31,4,1,42,1,5,4,1,33,2,2,5,4.0,3.0,2.8333333333333335,3,3,3,4,1
