,gender,Status,First_Reviewer,Second_Reviewer,First_Grade,Second_Grade,Target
0,0.0,11 класс,reviewer_7,reviewer_6,20.0,20,20.0
1,1.0,10 класс,reviewer_6,reviewer_7,0.0,0,0.0
2,1.0,11 класс,reviewer_9,reviewer_7,21.0,25,23.0
3,1.0,9 класс,reviewer_9,reviewer_5,18.0,19,18.5
4,1.0,10 класс,reviewer_6,reviewer_7,30.0,30,30.0
5,1.0,11 класс,reviewer_9,reviewer_7,24.0,22,23.0
6,0.0,11 класс,reviewer_6,reviewer_3,26.0,27,26.5
7,0.0,11 класс,reviewer_6,reviewer_7,28.0,24,26.0
8,1.0,10 класс,reviewer_5,reviewer_6,23.0,23,23.0
9,1.0,Иное,reviewer_4,reviewer_9,24.0,24,24.0
10,1.0,9 класс,reviewer_9,reviewer_7,22.0,23,22.5
11,1.0,11 класс,reviewer_8,reviewer_3,25.0,23,24.0
12,1.0,10 класс,reviewer_8,reviewer_2,25.0,24,24.5
13,1.0,11 класс,reviewer_3,reviewer_6,15.0,16,15.5
14,1.0,11 класс,reviewer_5,reviewer_6,29.0,29,29.0
15,1.0,9 класс,reviewer_7,reviewer_6,23.0,23,23.0
16,1.0,11 класс,reviewer_7,reviewer_2,30.0,30,30.0
17,1.0,10 класс,reviewer_7,reviewer_9,26.0,27,26.5
18,0.0,11 класс,reviewer_5,reviewer_6,27.0,27,27.0
19,0.0,10 класс,reviewer_7,reviewer_5,18.0,17,17.5
20,1.0,11 класс,reviewer_7,reviewer_9,24.0,26,25.0
21,1.0,10 класс,reviewer_7,reviewer_9,26.0,22,24.0
22,0.0,11 класс,reviewer_5,reviewer_3,18.0,20,19.0
23,0.0,9 класс,reviewer_9,reviewer_7,13.0,13,13.0
24,1.0,11 класс,reviewer_4,reviewer_7,21.0,22,21.5
25,1.0,10 класс,reviewer_9,reviewer_2,23.0,20,21.5
26,0.0,10 класс,reviewer_6,reviewer_7,30.0,25,27.5
27,0.0,11 класс,reviewer_8,reviewer_5,26.0,26,26.0
28,1.0,11 класс,reviewer_8,reviewer_5,27.0,26,26.5
29,1.0,9 класс,reviewer_7,reviewer_6,26.0,26,26.0
30,0.0,11 класс,reviewer_3,reviewer_6,23.0,23,23.0
31,1.0,9 класс,reviewer_7,reviewer_8,16.0,23,19.5
32,1.0,10 класс,reviewer_8,reviewer_5,29.0,27,28.0
33,1.0,11 класс,reviewer_8,reviewer_3,5.0,5,5.0
34,1.0,10 класс,reviewer_6,reviewer_8,26.0,26,26.0
35,1.0,11 класс,reviewer_3,reviewer_9,15.0,18,16.5
36,1.0,11 класс,reviewer_9,reviewer_5,29.0,26,27.5
37,0.0,11 класс,reviewer_6,reviewer_7,26.0,27,26.5
38,1.0,11 класс,reviewer_9,reviewer_7,23.0,25,24.0
39,1.0,11 класс,reviewer_8,reviewer_6,20.0,21,20.5
40,1.0,10 класс,reviewer_5,reviewer_6,15.0,12,13.5
41,1.0,11 класс,reviewer_8,reviewer_5,18.0,18,18.0
42,1.0,11 класс,reviewer_6,reviewer_9,28.0,29,28.5
43,1.0,10 класс,reviewer_6,reviewer_7,23.0,22,22.5
44,1.0,11 класс,reviewer_9,reviewer_7,23.0,24,23.5
45,0.0,11 класс,reviewer_6,reviewer_8,25.0,24,24.5
46,1.0,9 класс,reviewer_3,reviewer_6,18.0,20,19.0
47,1.0,11 класс,reviewer_4,reviewer_9,25.0,27,26.0
48,1.0,Иное,reviewer_2,reviewer_7,23.0,24,23.5
49,1.0,11 класс,reviewer_9,reviewer_2,9.0,10,9.5
50,1.0,11 класс,reviewer_3,reviewer_6,22.0,22,22.0
51,1.0,Иное,reviewer_5,reviewer_7,24.0,25,24.5
